id,publication_id,edition_id,title,author_creator,corporate_creators,contributors,description_abstract,date_period,year,type,place_of_publishing,publisher,format,extent,other_physical_description,call_number,language,general_note,subject_keywords,url_original_object
324722,352407,324722,"1980 թվականի ռազմական հեղաշրջումը Թուրքիայում. պատճառները, ընթացքը, հետևանքները","Դումանյան, Արթուր",ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ ; Երևանի Պետական համալսարան,Խմբ. Ռուբեն Սաֆրաստյան,Երևան,2016,2016,Գիրք,Երևան,ՎՄՎ-Պրինտ,pdf,156 էջ,,AII/102156,hy,,Պատմություն Քաղաքականություն Թուրքիա ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/352407/edition/324722
325765,353573,325765,Arab historiography on the Armenian genocide,"Hovhannisyan, Nikolay",Institute of Oriental Studies of NAS RA,,Yerevan,2005,2005,Book,Yerevan,Zangak-97,pdf,168 p.,,,en,,Armenian genocide Arab historiography ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/353573/edition/325765
363575,392916,363575,Aratta,"Movsisyan, Artak","Nat. Acad. of Sciences of Armenia, Inst. of Oriental Studies",,Istanbul,2001,2001,Book,Istanbul,Belge yayinlari,pdf,77 p.,"ill., map, 19 cm.",,turkish,,History of Armenia Ancient history,https://arar.sci.am/dlibra/publication/392916/edition/363575
324647,352327,324647,Cilician Armenia in the perceptions of adjacent political entities,"Bozoyan, A. A. ; Ter-Ghevondian, V. A. ; Shukurov, R. M. ; Danielyan, G. G.",Institute of Oriental Studies of NAS RA,Edited by A. A. Bozoyan ; Translated by A. Martirossyan,Yerevan,2019,2019,Book,Yerevan,"""Gitutyun""",pdf,282 p.,ill.,И II/116904 ; И II/116356 ; И II/116358,en ; hy,,History Cilicia Armenian Kingdom Churches,https://arar.sci.am/dlibra/publication/352327/edition/324647
332262,361043,332262,Der Völkermord an den Armeniern,"Howhannisjan, Nikolaj",Nationale Akademie der Wissenschaften Armeniens Institut für Orientalistik,Edt. W. B. Barchudarjan,Jerewan,2005,2005,Book,Jerewan,"""Sangak-97""",pdf,66 p.,,И II/112719,de,,Armenian massacres NAS RA Institute of Oriental Studies,https://arar.sci.am/dlibra/publication/361043/edition/332262
325835,353643,325835,Die Parthischen und sasanidischen Verwaltungsinstitutionen. Nach den literarischen und epigraphischen Quellen 3. Jh. v. Chr.-7. Jh. n. Chr,"Khurshudian, Eduard",Russischen Akademie der Wissenschaften Institut für Orientstudien,,Jerewan,1998,1998,Book,Jerewan,Verl. des Kaukasischen Zentrums für iranische Forschungen,pdf,324 p.,map,,ge ; ru,,Parthia History Parthians Politics and government PAW Institut für Orientstudien,https://arar.sci.am/dlibra/publication/353643/edition/325835
325841,353649,325841,"Ermeni Soykirimi Ermenikirim. Nedenler, eylem, sonuçlar","Hovhannisyan, Nikolay",,Com. Atilla Tuygan ; Translated by Hüseyin Yoldas,Turkey,2007,2007,Book,Turkey,Pencere Yayinlari,pdf,116 p.,maps,,tr,,History Armenian actors Armenian genocide,https://arar.sci.am/dlibra/publication/353649/edition/325841
363576,392917,363576,Formation of the Transcaucasian-Middle Eastern geopolitical region,"Hovhannisyan, Nikolay","Nat. Acad. of Sciences of Armenia, Inst. of Oriental Studies",,Yerevan,2000,2000,Book,Yerevan,NAS of Armenia,pdf,20 p.,21 cm,,en,,History Politics,https://arar.sci.am/dlibra/publication/392917/edition/363576
334632,364025,334632,International trade and the Armenian merchants in the Seventeenth century,"Baibourtian, Vahan",,,New Delhi,2004,2004,Book,New Delhi,Sterling Publishers,pdf,261 p.,maps,И II/114102,eng,,International trade NAS RA Institute of Oriental Studies,https://arar.sci.am/dlibra/publication/364025/edition/334632
342650,372548,342650,Le génocide Arménien,"Hovhannissian, Nikolay",Institute of Oriental Studies of NAS RA,Traduit de l'Arménien par Anahit Mesropian,Erévan,,,Book,Erévan,Zangak-97,pdf,62 p.,,И II/112718,en,,Armenian genocide,https://arar.sci.am/dlibra/publication/372548/edition/342650
334677,364105,334677,Nationalities of Armenia,,Institute of Oriental Studies of NAS RA,Edt. Nikolay Hovhannisyan ; Translated by Svetlanna Mardanyan,Yerevan,1999,1999,Book,Yerevan,Yegea,pdf,120 p.,,,en,,NAS RA Institute of Oriental Studies Minorities Armenia History,https://arar.sci.am/dlibra/publication/364105/edition/334677
359582,388729,359582,Sassanian coins of Armenia,"Khurshudian, Eduard ; Zohrabian, Armine",Nat. Acad. of Sciences of Armenia ; Inst. of Oriental Studies ; State Historical Museum of Armenia ; Department of Coins and Medal,Editor in chief Kalantaryan A. A. ; Translated by Tereza Pearce,Almaty,2002,2002,Book,Almaty,Desht-i Qypchaq,pdf,173 p.,,И II/111820,en,,History Museum of History Coins,https://arar.sci.am/dlibra/publication/388729/edition/359582
342773,372550,342773,The Armenian Genocide,"Hovahannisyan, Nikolay",Institute of Oriental Studies of NAS RA,V. B. Barkhudaryan ; Trl. from Armenian by Svetlana Mardaryan,Yerevan,2002,2002,Book,Yerevan,Zangak-97,pdf,103 p.,,И II/110911 ; И II/112570 ; И II/116912,fr,,History Turkey Armenian genocide Armenian question,https://arar.sci.am/dlibra/publication/372550/edition/342773
340957,370732,340957,The foreign policy of the Republic of Armenia in the Transcaucasian-Middle Eastern geopolitical region,"Hovannisyan, Nikolay",Institute of Oriental Studies of NAS RA,,Yerevan,1998,1998,Book,Yerevan,Noyan Tapan,pdf,108 p.,,ИII/117087,en,,Political science,https://arar.sci.am/dlibra/publication/370732/edition/340957
340990,370767,340990,The Karabakh problem,"Hovhannisyan, Nikolay",Institute of Oriental Studies of NAS RA,,Yerevan,2004,2004,Book,Yerevan,Zangak-97,pdf,147 p.,"ill., map.",ИII/116916,en,,Nagorno-Karabakh History,https://arar.sci.am/dlibra/publication/370767/edition/340990
325845,353653,325845,The Karabakh problem. The thorny road to freedom and independence,"Hovhannisyan, Nikolay",Institute of Oriental Studies of NAS RA,,Yerevan,2004,2004,Book,Yerevan,Zangak-97,pdf,147 p.,,И II/116916,en,,NAS RA Institute of Oriental Studies Nagorno-Karabakh History,https://arar.sci.am/dlibra/publication/353653/edition/325845
340976,370751,340976,The sacred highlands,"Movsisyan, Artak",Institute of Oriental Studies of NAS RA,Ed. Laura G. Manoukian,Yerevan,2004,2004,Book,Yerevan,,pdf,75 p.,ill.,ИII/116791,en,,History of Armenia Geography,https://arar.sci.am/dlibra/publication/370751/edition/340976
366819,396429,366819,Understanding The Dynamics Of The Belt And Road Initiative։ The MainTrends,,,,Yerevan,2023,2023,Book,Yerevan,Institute of Oriental Studies NAS RA,pdf,35 p.,,,en,,China-Georgia Relations China-Armenia Geopolitics,https://arar.sci.am/dlibra/publication/396429/edition/366819
325934,353751,325934,VII.-X. Yüzyıllarda Kürtler,"Poladyan, Arşak",,Translated by Mehmet Demir,Ankara,1991,1991,Book,Ankara,Öz-Ge,pdf,112 p.,,,tu,Text in Turkish,NAS RA Institute of Oriental Studies History Kurds,https://arar.sci.am/dlibra/publication/353751/edition/325934
324742,352442,324742,Албания-Алуанк в греко-латинских и древнеармянских источниках,"Акопян, Алексан Акопович",АН АрмССР. Институт востоковедения,Отв. ред. П. М. Мурадян,Ереван,1987,1987,Книга,Ереван,Изд-во АН АрмССР,pdf,304 с.,карт.,PII/582132,ru,,История НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/352442/edition/324742
362913,392293,362913,Армения и Сасанидский Иран,"Хуршудян, Эдуард",НАН РА Институт востоковедения,Отв. ред. Калантарян А. А.,Алматы,2003,2003,Книга,Алматы,"""Print-S""",pdf,474 с.,ил.,PII/650578,ru,,История Историко-культурологическое исследование Армения Иран,https://arar.sci.am/dlibra/publication/392293/edition/362913
320699,348074,320699,Армяне в странах Арабского Востока на современном этапе,"Тер-Мкртичян, Л. Х.",АН АрмССР. Сектор востоковедения ; АН АрмССР. Институт народов Азии,,Москва,1965,1965,Книга,Москва,Наука,pdf,60 с.,4 л. ил.,Иоан/1122,ru,,НАН РА Институт востоковедения История армянского народа Армяно-арабские отношения,https://arar.sci.am/dlibra/publication/348074/edition/320699
320702,348076,320702,Армянская колония Новой Джульфы в XVII веке,"Байбуртян, В. А.",АН АрмССР. Сектор востоковедения,,Ереван,1969,1969,Книга,Ереван,Изд-во АН АрмССР,pdf,168 с.,,PII/509645,ru,,НАН РА Институт востоковедения Экономика Новая Джульфа История,https://arar.sci.am/dlibra/publication/348076/edition/320702
325477,353291,325477,Армянская эпиграфика Грузии. Тбилиси,"Мурадян, П. М.",Институт востоковедения АН АрмССР,,Ереван,1988,1988,Книга,Ереван,Изд-во АН АрмССР,pdf,136 с.,,PII/587165,ru,,Армянская эпиграфика Армяно-грузинские культурные связи НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/353291/edition/325477
320918,348302,320918,Армянские источники XVIII в. об Индии,"Абрамян, Р. А.",АН АрмССР. Сектор востоковедения,,Ереван,1968,1968,Книга,Ереван,Изд-во АН АрмССР,pdf,296 с.,,PII/400080,ru,,Источниковедение История Индия НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/348302/edition/320918
325766,353574,325766,Ахбар Ал-Булдан. (Известия о странах),Ибн ал-Факих,АН АрмССР. Институт востоковедения,"Введение, перев. и коммент. А. С. Жамкочяна",Ереван,1979,1979,Книга,Ереван,,pdf,320 с.,,PII/490009,ru,,История Источниковедение Востоковедение НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/353574/edition/325766
332253,361024,332253,Библиографиа к՛т՛ебед к՛öрдиейә советие (салед 1921-1960),,,Կազմ.՝ Ն. Ա. Ալեքսանյան,Երևան,1962,1962,Գիրք,Երևան,ՀՍՍՌ ԳԱ հրատ․,pdf,124 էջ,,PII/541745,ku (kurdish) ; hy ; ru,,Քրդերեն գրքեր Բիբլիոգրաֆիա,https://arar.sci.am/dlibra/publication/361024/edition/332253
325482,353302,325482,Большевики и младотурки. Новые документы о российско-турецких отношениях (1920-1922 гг.),"Казанджян, Рем",Институт востоковедения НАН РА ; Институт востоковедения РАН,,Москва,1996,1996,,Москва,,,25 с.,,PII/643799,hy,,НАН РА Институт востоковедения История Российско-турецкие отношения,https://arar.sci.am/dlibra/publication/353302/edition/325482
320791,348169,320791,Буржуазия Османской империи,Инджикян О. Г.,АН АрмССР. Институт востоковедения,,Ереван,1977,1977,Книга,Ереван,Изд-во АН АрмССР,pdf,314 с.,ил.,РII/399555,ru,,Османская империя НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/348169/edition/320791
342985,372631,342985,Вновь идентифицированные и неопубликованные фрагменты арабских версий Самаритянского Пятикнижия из собрания Российской национальной библиотеки - СПб.,"Жамкочян, А. С.",АН АрмССР. Институт востоковедения,Под. ред. В. В. Наумкина,Москва,2001,2001,Книга,Москва,,pdf,214 с.,,,ru,,Самаритянское Пятикнижие Рукописи,https://arar.sci.am/dlibra/publication/372631/edition/342985
342997,372644,342997,Внутренняя политика Турции в годы второй мировой войны,"Кондакчян, Р. П.",АН АрмССР. Институт востоковедения,,Ереван,1978,1978,Книга,Ереван,Изд-во АН АрмССР,pdf,244 с.,,PII/407263 ; PII/418750 ; РII/414615,ru,,Вторая мировая война Политика Турция,https://arar.sci.am/dlibra/publication/372644/edition/342997
342322,372331,342322,Востоковедные центры в СССР,,Академия наук СССР. Институт востоковедения,Отв. ред. А. П. Базиянц,Москва,1988,1988,Книга,Москва,''Наука'',pdf,128 с.,,PII/617688,ru,,Востоковедение,https://arar.sci.am/dlibra/publication/372331/edition/342322
334567,364019,334567,Геноцид армян,"Оганесян, Николай",НАН РА Институт востоковедения,Ред. В. А. Бархударян,Ереван,2005,2005,Книга,Ереван,Зангак-97,pdf,63 с.,,PII/651273,ru,,История армянского народа НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/364019/edition/334567
364341,393859,364341,Германский империализм на Ближнем Востоке,"Аветян, А. С.",,,Москва,1968,1968,Книга,Москва,Издательство „Международные отношения“,pdf,152 с.,,,ru,,История Ближний Восток,https://arar.sci.am/dlibra/publication/393859/edition/364341
321587,349135,321587,"""Джихан-Нюма"" и ""Фезлеке"" Кятиба Челеби как источник по истории Армении (XVII в.)",,АН АрмССР. Институт востоковедения,"Предисл., пер. и коммент. А. А. Папазян",Ереван,1973,1973,Книга,Ереван,Изд-во АН АрмССР,pdf,192 с.,ил.,PII/316924 ; PII/317026,ru,,История География НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/349135/edition/321587
325834,353642,325834,Древнейшие фрагменты арабо-самаритянских хроник из собрания Российской национальной библиотеки,"Жамкочян, Арутюн С.",НАН РА Институт востоковедения ; РАН Институт востоковедения,,Москва,2003,2003,Книга,Москва,МИФИ,pdf,220 с.,,,ru,,Религия Библия Самаритянская культура НАН РА Институт востоковедения,https://arar.sci.am/dlibra/publication/353642/edition/325834
